,subject,alpha_pos,alpha_neg,alpha_unchosen,beta,LL,Confidence Distance,lbound,hbound
0,45628.0,0.8045362983267037,0.7913780734882617,1.0,8.40362232054787,67.21412438181152,1.1128364855103632,1,5
1,45640.0,0.7411834860050222,0.8778849983794081,0.6293516839449182,3.3250109132342915,85.94422714123114,0.44153576806050054,1,5
2,45664.0,0.008606622899171166,1.0,0.010372304412004072,3.6872282240978764,273.71140388976556,1.5256552852786733,1,5
3,45682.0,0.4267717051400411,1.0,0.3441722249185907,2.8668804775987935,183.42025249679403,0.5177150024212467,1,5
4,45745.0,0.9122780629035617,1.0,0.741475823308956,7.920838092530429,79.08287866433118,0.49541528706511756,1,5
5,45760.0,0.5529721678706737,0.7411523476363389,0.4649878717507724,5.868550382164933,109.54045533317162,0.2473270649023347,1,5
6,45763.0,0.6064932005994719,0.6042369365639559,0.5853607837011019,23.81746750173093,74.41462347831441,0.6731562395820864,1,5
7,45805.0,0.9529681784368197,1.0,0.8812961093317463,11.893855653695317,92.54218243060203,0.48229597860429757,1,5
8,45829.0,0.6171228464756229,0.7903632404100736,0.5547262560710828,2.850159467028617,139.33927135195017,0.5398312407298227,1,5
9,45964.0,0.37224145364402506,0.7829625919536278,0.25152955762568485,3.8171315244765576,150.77873192394412,0.6549509689203125,1,5
10,46024.0,0.8895962107862919,0.9015010816698529,0.7810529356463937,6.918377143966963,71.35165993008695,0.386642000763371,1,5
11,46057.0,0.3091158788522055,0.32154465434005264,0.42484509045994323,6.0253735304251315,149.33255487892288,1.2281714792158855,1,5
12,46072.0,0.32294234068554845,0.5634857702948807,0.28108457006850956,2.755212565318346,181.40515593317434,0.7820535310484911,1,5
13,46102.0,0.5760640073661883,0.698825172588514,0.541011121797231,4.232663095582228,250.69900019412256,1.2077943703567542,1,5
14,46114.0,0.6673465851289626,0.6977689925578622,0.5947330925344508,4.076930779572752,132.9457881770017,0.4296155841018937,1,5
15,46159.0,0.31390683548921755,0.8857388554206491,0.05367371419634015,6.7765406661363645,119.26525222182104,0.3875884823017245,1,5
16,46180.0,0.5818598813889175,0.6878098567091644,0.555731004415178,4.166647971808463,213.15981374801615,1.35451128554268,1,5
17,46198.0,0.4210182586880765,0.770220311646234,0.11081973312364403,8.620698828192577,99.36443622455532,1.1983880423868378,1,5
18,46255.0,0.4379175015813802,0.9421561577969704,0.4485676357275325,0.14037657542340093,235.40528401899792,0.24597672831945977,1,5
19,46330.0,0.9053097044636728,0.9115575151826417,0.7345738259716734,4.245560208358819,94.05473225746312,0.5500897114193855,1,5
20,46357.0,0.6694993593622828,0.7189910340877312,0.6390769917323879,3.6841615916127863,182.89208633993167,1.9914908721460378,1,5
21,46384.0,0.8114273831557705,0.898748928754968,0.8153399204723547,0.9090554313811806,169.52323728287107,0.3749405869181544,1,5
22,46450.0,0.10201957143881651,0.0,0.005560089523501073,20.65449701615165,295.2046276803959,1.2744369548861028,1,5
23,46471.0,0.5395593984812164,0.5485035293017808,0.5864568969373286,4.723888615123753,151.88877837801655,1.7603934244104658,1,5
24,46486.0,0.2740741701225537,0.2522192231863782,0.3405185425584458,2.7737222005018163,199.99259463132728,1.005695389304023,1,5
25,46489.0,0.34876300214265277,1.0,1.0,0.3842620116712479,5924.0153782081725,1.237729822775495,1,5
26,46522.0,0.7191567589558104,1.0,0.6945290496883295,0.38618946643687513,225.37279020663385,0.5492780694196597,1,5
27,46552.0,0.8305412977786659,0.9484157767336953,0.7118432704878136,100.0,3328.4264023010187,0.24800376521527012,1,5
28,46555.0,0.05218054022197487,1.0,0.05082128371376702,1.7509770456452975,258.9956915121134,0.6234208587908637,1,5
29,46573.0,0.6479907856942826,0.8216597552680106,0.40754522820075,3.799995303686211,113.50765361213587,0.46500750743380864,1,5
30,46591.0,0.448545039384681,0.8818655484245715,0.17663754059832934,7.665525265606057,154.58618038742765,0.41222699582301786,1,5
31,46633.0,0.604913868596838,1.0,0.5030608205602308,2.5266329803318763,143.01748865880668,1.1568149741196743,1,5
32,46672.0,0.7535224481878792,0.7593308237811729,0.6076793205876321,3.8998768733297138,120.0716747699654,0.33683664361317645,1,5
33,46687.0,0.5324031199354808,0.5733416331381971,0.4917870579561723,6.8936656877427955,86.15988951283236,0.46635142050159106,1,5
34,46702.0,0.8186340445837172,0.88161140119625,0.6898325887902794,7.128278690582114,83.92716169759836,0.5355474143071498,1,5
35,46729.0,0.8075278916300693,0.73183916122514,0.09873377697378821,12.291503518876066,94.88588323761684,0.6010344501621707,1,5
36,46750.0,0.0,0.4814701466802656,0.0,12.329861567037181,274.82384604798006,1.5615929078107964,1,5
37,46756.0,0.5762154960789612,0.0,0.00046060229808311327,6.222015835493634,273.63832775257083,0.9631997826239305,1,5
38,46792.0,0.4936232483863185,0.5012995767956077,0.45352884248050923,21.66580246382557,64.70982706250419,0.3380238306375445,1,5
39,46822.0,0.7010082396428602,1.0,0.6896417172876864,1.6325798246169203,176.2994336633986,0.5644845544765625,1,5
40,46828.0,0.43844752126358877,0.4830759064970272,0.3944366226395404,5.769769229635599,96.69650978299228,0.5680957745145481,1,5
41,46912.0,0.15656312324624938,0.8657010765350188,0.07862331336181595,2.3826188026240613,193.61889794179012,0.4359916176914291,1,5
42,46915.0,0.26930210349866335,1.0,0.16874925866137272,2.364517346680257,151.90810144434488,0.36094878388521906,1,5
43,46927.0,1.0,0.9602104157890766,0.5212813921534332,17.324424055645892,69.72529948004927,0.4718962562482436,1,5
44,47008.0,0.1542660379855042,0.3572557528231089,0.14548523240885236,9.11059861869316,231.32236068805997,0.4771552107588661,1,5
45,47182.0,0.5650056963972536,0.5750492825739388,0.5676281969461185,6.693189443878458,96.82229958278631,0.2935548905911003,1,5
46,47269.0,0.7093031066810525,0.7768880429970005,0.7117645676151542,1.354844734069403,149.50174413224966,0.9392601977024458,1,5
47,47284.0,0.7276126655481181,0.7151291854566562,0.6017444974316978,6.63850703143498,99.94735063188268,0.44192641039119684,1,5
48,47317.0,0.6060008582798941,0.6292541159621667,0.5875205626010177,2.115142290861615,167.95247802939008,0.22323298410513778,1,5
49,47431.0,0.6400477311597285,0.6497255163044061,0.511978097374974,7.491783013235025,134.3576397989552,0.7488058588159606,1,5
50,47470.0,0.743226901953975,0.6731444687354332,0.29293093809071963,22.81383357371972,49.0791838631196,0.4285638813781293,1,5
51,47737.0,0.0036448839910820214,0.0,0.0,100.0,281.1466772548975,1.4683533642006807,1,5
52,47740.0,0.2386627098671736,0.23405895969518073,0.24565566851505755,4.563724227492865,217.63031331908815,1.8571952869813821,1,5
53,47743.0,0.6548856024068802,0.7305033799306502,0.5330192450708928,6.124085400428425,81.20008424195368,1.0700915115496374,1,5
